Epoch,"0216_200835
num_objs=90","0220_092010
num_objs=30","0312_114022
num_objs=30
[no image_pos_enc]","0220_203955
num_objs=40","0220_153332
num_objs=50","0216_224027
num_objs=60","0217_215130
num_objs=70","0218_162728
num_objs=80"
19,68.79 tr acc = 98.98,0 tr acc = 6.36,0.75 tr acc = 4.13,0.69 tr acc = 7,1.18 tr acc = 10.12,3.24 tr acc = 33.8,7.73 tr acc = 54.1,33.53 tr acc = 92.25
39,90.53 tr acc = 100,0.38 tr acc = 10.17,0.57 tr acc = 14.55,1.85 tr acc = 35.9,9.24 tr acc = 85.64,48.75 tr acc = 99.61,54.29 tr acc = 99.96,70.5 tr acc = 99.43
59,84.34 tr acc = 99.64,0.75 tr acc = 23.55,1.32 tr acc = 22.31,7.64 tr acc = 88.3,26.11 tr acc = 95.23,53.75 tr acc = 99.82,54.94 tr acc = 99.1,79.58 tr acc = 100
79,93.58 tr acc = 100,0.94 tr acc = 45.62,1.89 tr acc = 73.8,17.94 tr acc = 92.38,49.51 tr acc = 99.71,74.54 tr acc = 100,63.62 tr acc = 99.98,74.8 tr acc = 99.4
99,90.2 tr acc = 99.96,1.32 tr acc = 65.29,2.45 tr acc = 67.36,26.74 tr acc = 99.6,52.08 tr acc = 99.91,63.84 tr acc = 100,75.59 tr acc = 100,77.08 tr acc = 100
119,90.06 tr acc = 99.98,1.32 tr acc = 94.79,3.77 tr acc = 97.02,30.44 tr acc = 100,58.4 tr acc = 100,53.94 tr acc = 98.72,74.48 tr acc = 100,76.74 tr acc = 99.97
139,93.74 tr acc = 100,4.72 tr acc = 98.93,3.21 tr acc = 73.22,30.44 tr acc = 100,58.61 tr acc = 99.91,82.73 tr acc = 100,70.011 tr acc = 99.54,82.73 tr acc = 100
159,95.95  tr acc = 100,6.98 tr acc = 100,5.85 tr acc = 99.75,37.73 tr acc = 100,57.15 tr acc = 100,71.34 tr acc = 100,77.2 tr acc = 100,79.73 tr acc = 100
179,94.74  tr acc = 100,9.25 tr acc = 99.26,3.4 tr acc = 99.26,32.41 tr acc = 99.11,62.22 tr acc = 100,74.4 tr acc = 100,69.18 tr acc = 99.96,84.85 tr acc = 100
199,95.71  tr acc = 100,12.64 tr acc = 100,2.08 tr acc = 99.92,33.68 tr acc = 99.96,31.39 tr acc = 81.21,73.52 tr acc = 100,75.02 tr acc = 100,80 tr acc = 99.99
219,,15.28 tr acc = 100,3.21 tr acc = 97.52,42.59 tr acc = 99.91,10.9 tr acc = 55.95,76.16 tr acc = 100,78.7 tr acc = 100,
239,,20.75 tr acc = 100,1.89 tr acc = 99.83,44.21 tr acc = 99.96,60.9 tr acc = 100,77.27 tr acc = 100,81.28 tr acc = 100,
259,,24.34 tr acc = 100,8.11 tr acc = 98.84,47.57 tr acc = 99.96,65.56 tr acc = 100,81.02 tr acc = 100,74.3 tr acc = 100,
279,,21.89 tr acc = 95.12,4.53 tr acc = 99.92,49.31 tr acc = 100,66.67 tr acc = 100,74.49 tr acc = 99.33,80.67 tr acc = 100,
299,,38.49 tr acc = 100,7.74 tr acc = 99.42,49.83 tr acc = 100,66.18 tr acc = 100,85.79 tr acc = 100,81.1 tr acc = 100,
319,,36.04 tr acc = 100,12.08 tr acc = 97.27,58.85 tr acc = 99.98,,,,
339,,39.81 tr acc = 100,10.57 tr acc = 100,65.91 tr acc = 100,,,,
359,,41.13 tr acc = 100,8.68 tr acc = 99.92,66.44 tr acc = 100,,,,
379,,40 tr acc = 100,11.13 tr acc = 96.45,54.51 tr acc = 99.91,,,,
399,,42.45 tr acc = 100,23.02 tr acc = 100,58.8 tr acc = 100,,,,
419,,43.96 tr acc = 100,24.53 tr acc = 100,65.05 tr acc = 100,,,,
439,,3.02 tr acc = 62.73,21.51 tr acc = 100,66.09 tr acc = 100,,,,
459,,29.25 tr acc = 100,7.55 tr acc = 100,61 tr acc = 100,,,,
479,,32.64 tr acc = 100,17.17 tr acc = 99.92,68.17 tr acc = 100,,,,
499,,40.57 tr acc = 100,11.32 tr acc = 100,66.67 tr acc = 100,,,,
519,,43.58 tr acc = 100,17.74 tr acc = 100,70.49 tr acc = 100,,,,
539,,46.98 tr acc = 100,12.45 tr acc = 100,71.88 tr acc = 100,,,,
559,,47.55 tr acc = 100,18.11 tr acc = 100,66.78 tr acc = 100,,,,
579,,40.19 tr acc = 100,14.34 tr acc = 100,59.61 tr acc = 100,,,,
599,,45.09 tr acc = 100,13.4 tr acc = 95.87,67.59 tr acc = 100,,,,
