Epoch,"0217_214029
num_objs=90","0216_160017
num_objs=30","0311_220053
num_objs=30
[no image_pos_enc]","0215_195623
num_objs=40","0216_191115
num_objs=50","0219_134607
num_objs=60","0217_214349
num_objs=70","0217_214112
num_objs=80"
19,4.84 tr acc = 5.1,3.16 tr acc = 2.77,1.78 tr acc = 2.77,1.2 tr acc = 1.16,2.28 tr acc = 2.78,2.22 tr acc = 2.39,2.85 tr acc = 2.6,2.52 tr acc = 2.76
39,88.34 tr acc = 93.15,3.32 tr acc = 2.96,1.86 tr acc = 4.74,4.47 tr acc = 4.75,4.71 tr acc = 4.31,4.37 tr acc = 4.82,13.74 tr acc = 17.25,78.22 tr acc = 86
59,98.74 tr acc = 99.89,4.29 tr acc = 8.1,1.7 tr acc = 4.74,5.34 tr acc = 7.59,4.91 tr acc = 7.37,22.21 tr acc = 33.01,86.79 tr acc = 93.22,98.42 tr acc = 99.92
79,98.39 tr acc = 100,7.54 tr acc = 10.28,4.54 tr acc = 9.68,5.89 tr acc = 6.96,10.92 tr acc = 17.39,77.35 tr acc = 93.54,94.83 tr acc = 98.91,99.02 tr acc = 99.95
99,99.06 tr acc = 100,7.7 tr acc = 9.68,3.24 tr acc = 9.49,7.69 tr acc = 10.86,40.15 tr acc = 57.3,94.36 tr acc = 98.41,98.46 tr acc = 99.89,99.26 tr acc = 100
119,99.21 tr acc = 99.92,8.18 tr acc = 10.28,4.13 tr acc = 14.82,10.64 tr acc = 15.19,85.47 tr acc = 96.59,98.99  tr acc = 99.91,99.12  tr acc = 100,99.64 tr acc = 100
139,98.68 tr acc = 99.83,11.59 tr acc = 18.18,5.35 tr acc = 15.61,16.67 tr acc = 25.84,73.45 tr acc = 85.26,99.25  tr acc = 100,71.95 tr acc = 79.34,99.5 tr acc = 100
159,99.26 tr acc = 100,14.83 tr acc = 29.45,1.94 tr acc = 7.71,45.12 tr acc = 73.21,93.88 tr acc = 99.65,98.89  tr acc = 100,99.12 tr acc = 100,99.3 tr acc = 100
179,99.48 tr acc = 100,22.29 tr acc = 63.64,5.51 tr acc = 21.15,73.76 tr acc = 94.51,92.35 tr acc = 98.26,99.33  tr acc = 100,99.3 tr acc = 100,99.5 tr acc = 100
199,99.42 tr acc = 100,21.23 tr acc = 53.36,7.21 tr acc = 24.51,90.1 tr acc = 99.26,96.76 tr acc = 100,98.99 tr acc = 100,75.64 tr acc = 78.04,99.57 tr acc = 100
219,,31.2 tr acc = 78.46,6.81 tr acc = 40.32,90.52 tr acc = 99.58,97.69 tr acc = 100,98.06  tr acc = 99.77,98.97 tr acc = 100,
239,,17.67 tr acc = 55.34,6.73 tr acc = 41.5,94.94 tr acc = 100,98.41 tr acc = 100,99.03  tr acc = 100,99.47 tr acc = 100,
259,,35.98 tr acc = 80.83,18.15 tr acc = 81.03,95.07 tr acc = 100,98.41 tr acc = 100,99.23  tr acc = 100,99.09 tr acc = 100,
279,,51.46 tr acc = 92.49,30.23 tr acc = 94.07,90.19 tr acc = 99.16,98.12 tr acc = 100,98.99  tr acc = 100,95.02 tr acc = 97.51,
299,,50 tr acc = 89.33,19.04 tr acc = 84.78,96.82 tr acc = 100,98.38 tr acc = 100,98.02 tr acc = 99.91,99.65 tr acc = 100,
319,,64.99 tr acc = 99.41,52.03 tr acc = 99.41,,,,,
339,,76.09 tr acc = 98.62,55.02 tr acc = 99.21,,,,,
359,,75.12 tr acc = 99.6,42.06 tr acc = 95.26,,,,,
379,,82.66 tr acc = 100,35.01 tr acc = 98.42,,,,,
399,,83.71 tr acc = 100,62.4 tr acc = 99.41,,,,,
419,,83.47 tr acc = 100,63.29 tr acc = 97.43,,,,,
439,,72.29 tr acc = 98.22,36.63 tr acc = 93.28,,,,,
459,,85.49 tr acc = 100,73.18 tr acc = 99.21,,,,,
479,,93.44 tr acc = 100,78.85 tr acc = 99.8,,,,,
499,,94.49 tr acc = 100,77.88 tr acc = 100,,,,,
519,,94.33 tr acc = 100,76.58 tr acc = 100,,,,,
539,,95.38 tr acc = 100,79.5 tr acc = 100,,,,,
559,,96.52 tr acc = 100,65.24 tr acc = 97.04,,,,,
579,,96.52 tr acc = 100,80.63 tr acc = 100,,,,,
599,,96.43 tr acc = 100,87.44 tr acc = 100,,,,,
